Nom du produit,Catégorie,Prix normal (TND),Réduction,Prix final (TND),Description,URL,content
PACK CAISSE TACTILE FREESHOP,Packs Caisse Tactile,,,2550.0,"Pack caisse tactile dédié aux freeshops : caisse, douchette 2D ou scanner au choix, imprimante, tiroir et logiciel de gestion commerciale.",https://idsoft.tn/packs-caisse-tactile/52-1-pack-caisse-tactile-caferesto.html,"Product: PACK CAISSE TACTILE FREESHOP
Category: Packs Caisse Tactile
Price: 2550.0
Description: Pack caisse tactile dédié aux freeshops : caisse, douchette 2D ou scanner au choix, imprimante, tiroir et logiciel de gestion commerciale."
PACK CAISSE TACTILE CAFE (avec imprimante),Packs Caisse Tactile,,,2350.0,"Pack café avec option 1 ou 2 imprimantes thermiques : caisse tactile, tiroir-caisse et logiciel Phoenix. Idéal pour la prise de commandes en salle.",https://idsoft.tn/packs-caisse-tactile/54-3-pack-caisse-tactile-cafe.html,"Product: PACK CAISSE TACTILE CAFE (avec imprimante)
Category: Packs Caisse Tactile
Price: 2350.0
Description: Pack café avec option 1 ou 2 imprimantes thermiques : caisse tactile, tiroir-caisse et logiciel Phoenix. Idéal pour la prise de commandes en salle."
PACK CAISSE TACTILE EPICERIE BALANCE SUPREMA,Packs Caisse Tactile,,,4800.0,"Pack épicerie avec balance Suprema + douchette 2D : caisse tactile, imprimante, tiroir et logiciel de gestion. Convient aux commerces alimentaires exigeants.",https://idsoft.tn/packs-caisse-tactile/56-7-pack-caisse-tactile-epicerie-balance-suprema.html,"Product: PACK CAISSE TACTILE EPICERIE BALANCE SUPREMA
Category: Packs Caisse Tactile
Price: 4800.0
Description: Pack épicerie avec balance Suprema + douchette 2D : caisse tactile, imprimante, tiroir et logiciel de gestion. Convient aux commerces alimentaires exigeants."
PACK CAISSE TACTILE EPICERIE BALANCE SUPREMA (v2),Packs Caisse Tactile,,,4400.0,"Variante du pack épicerie avec balance Suprema et douchette 2D, légèrement moins onéreuse. Caisse tactile + imprimante + tiroir + logiciel inclus.",https://idsoft.tn/packs-caisse-tactile/58-9-pack-caisse-tactile-epicerie-balance-suprema.html,"Product: PACK CAISSE TACTILE EPICERIE BALANCE SUPREMA (v2)
Category: Packs Caisse Tactile
Price: 4400.0
Description: Variante du pack épicerie avec balance Suprema et douchette 2D, légèrement moins onéreuse. Caisse tactile + imprimante + tiroir + logiciel inclus."
pack caisse tactile poissonnerie/pâtisserie,Packs Caisse Tactile,,,4500.0,"Pack spécialisé pour poissonneries et pâtisseries : caisse tactile, balance DIGIPOS ou Suprema au choix, imprimante, tiroir et logiciel de gestion.",https://idsoft.tn/packs-caisse-tactile/97-17-pack-caisse-tactile-poissonnerie-.html,"Product: pack caisse tactile poissonnerie/pâtisserie
Category: Packs Caisse Tactile
Price: 4500.0
Description: Pack spécialisé pour poissonneries et pâtisseries : caisse tactile, balance DIGIPOS ou Suprema au choix, imprimante, tiroir et logiciel de gestion."
pack caisse tactile boutique friperie,Packs Caisse Tactile,,,3020.0,"Pack caisse tactile adapté aux boutiques et friperies : caisse, scanner de codes-barres, imprimante thermique, tiroir-caisse et logiciel de gestion stock/vente.",https://idsoft.tn/packs-caisse-tactile/98-pack-caisse-tactile-.html,"Product: pack caisse tactile boutique friperie
Category: Packs Caisse Tactile
Price: 3020.0
Description: Pack caisse tactile adapté aux boutiques et friperies : caisse, scanner de codes-barres, imprimante thermique, tiroir-caisse et logiciel de gestion stock/vente."
pack caisse tactile parapharmacie / freeshop,Packs Caisse Tactile,,,2430.0,"Pack complet pour parapharmacie et freeshop : caisse tactile, douchette, imprimante, tiroir et logiciel Phoenix. Gestion des ventes et du stock simplifiée.",https://idsoft.tn/packs-caisse-tactile/99-pack-caisse-tactile-parapharmacie.html,"Product: pack caisse tactile parapharmacie / freeshop
Category: Packs Caisse Tactile
Price: 2430.0
Description: Pack complet pour parapharmacie et freeshop : caisse tactile, douchette, imprimante, tiroir et logiciel Phoenix. Gestion des ventes et du stock simplifiée."
pack caisse tactile café/resto avec 2 imprimantes,Packs Caisse Tactile,,,2170.0,"Pack café/restaurant avec 2 imprimantes thermiques (caisse + cuisine) : caisse tactile, tiroir-caisse et logiciel de gestion des commandes.",https://idsoft.tn/packs-caisse-tactile/100-pack-caisse-tactile-cafe.html,"Product: pack caisse tactile café/resto avec 2 imprimantes
Category: Packs Caisse Tactile
Price: 2170.0
Description: Pack café/restaurant avec 2 imprimantes thermiques (caisse + cuisine) : caisse tactile, tiroir-caisse et logiciel de gestion des commandes."
pack caisse tactile café/resto,Packs Caisse Tactile,,,1950.0,"Pack caisse tactile standard pour café et restaurant : caisse tactile, imprimante thermique, tiroir-caisse et logiciel Phoenix de gestion.",https://idsoft.tn/packs-caisse-tactile/101-pack-caisse-tactile-caferesto-.html,"Product: pack caisse tactile café/resto
Category: Packs Caisse Tactile
Price: 1950.0
Description: Pack caisse tactile standard pour café et restaurant : caisse tactile, imprimante thermique, tiroir-caisse et logiciel Phoenix de gestion."
pack caisse tactile magasin / épicerie,Packs Caisse Tactile,,,4530.0,"Pack magasin/épicerie avec balance DIGIPOS ou Suprema au choix : caisse tactile, imprimante, tiroir et logiciel de gestion des stocks et ventes.",https://idsoft.tn/packs-caisse-tactile/102-19-pack-caisse-tactile-magasin-epicerie.html,"Product: pack caisse tactile magasin / épicerie
Category: Packs Caisse Tactile
Price: 4530.0
Description: Pack magasin/épicerie avec balance DIGIPOS ou Suprema au choix : caisse tactile, imprimante, tiroir et logiciel de gestion des stocks et ventes."
Pack caisse tactile GSM store / Librairie,Packs Caisse Tactile,,,2400.0,"Pack caisse tactile spécialement conçu pour les GSM store et librairies : caisse, douchette, imprimante, tiroir et logiciel de gestion commerciale.",https://idsoft.tn/packs-caisse-tactile/103-pack-caisse-tactile-gsm-store-librairie.html,"Product: Pack caisse tactile GSM store / Librairie
Category: Packs Caisse Tactile
Price: 2400.0
Description: Pack caisse tactile spécialement conçu pour les GSM store et librairies : caisse, douchette, imprimante, tiroir et logiciel de gestion commerciale."
site web devis en ligne,Site web,,,1650.0,Site web avec formulaire de devis en ligne permettant aux clients d'obtenir une estimation personnalisée. Simple et efficace pour la mise en relation professionnels/particuliers.,https://idsoft.tn/site-web/40-site-web-devis-en-ligne.html,"Product: site web devis en ligne
Category: Site web
Price: 1650.0
Description: Site web avec formulaire de devis en ligne permettant aux clients d'obtenir une estimation personnalisée. Simple et efficace pour la mise en relation professionnels/particuliers."
Site web vitrine,Site web,,,1350.0,"Site web vitrine dynamique pour présenter votre entreprise, vos services et produits en ligne. Design moderne et responsive adapté au marché tunisien.",https://idsoft.tn/site-web/26-site-web-vitrine.html,"Product: Site web vitrine
Category: Site web
Price: 1350.0
Description: Site web vitrine dynamique pour présenter votre entreprise, vos services et produits en ligne. Design moderne et responsive adapté au marché tunisien."
site vitrine statique,Site web,,,950.0,Site vitrine statique rapide et optimisé SEO Google. Idéal pour les entreprises souhaitant une présence en ligne simple et économique.,https://idsoft.tn/site-web/41-site-vitrine-statique.html,"Product: site vitrine statique
Category: Site web
Price: 950.0
Description: Site vitrine statique rapide et optimisé SEO Google. Idéal pour les entreprises souhaitant une présence en ligne simple et économique."
SITE WEB E-COMMERCE,Site web,,,2150.0,"Boutique en ligne complète avec catalogue produits, paiement sécurisé, panier d'achat, suivi de commandes et optimisation SEO. Licence à vie incluse.",https://idsoft.tn/site-web/21-site-web-e-commerce.html,"Product: SITE WEB E-COMMERCE
Category: Site web
Price: 2150.0
Description: Boutique en ligne complète avec catalogue produits, paiement sécurisé, panier d'achat, suivi de commandes et optimisation SEO. Licence à vie incluse."
intervention anydesk,Services,,,30.0,Service d'assistance et dépannage à distance via AnyDesk. Intervention rapide pour résoudre les problèmes techniques sur logiciels ou matériels.,https://idsoft.tn/accueil/33-intervention-anydesk.html,"Product: intervention anydesk
Category: Services
Price: 30.0
Description: Service d'assistance et dépannage à distance via AnyDesk. Intervention rapide pour résoudre les problèmes techniques sur logiciels ou matériels."
Balance avec code-barres DIGIPOS Réseau GD1100,Balances,2100.0,-111.00 TND,1989.0,Balance de caisse réseau DIGIPOS GD1100 avec impression d'étiquettes code-barres. Idéale pour les épiceries et supérettes avec connexion réseau.,https://idsoft.tn/balances/46-balance-avec-code-barres-digipos-reseau-gd1100.html,"Product: Balance avec code-barres DIGIPOS Réseau GD1100
Category: Balances
Price: 1989.0
Description: Balance de caisse réseau DIGIPOS GD1100 avec impression d'étiquettes code-barres. Idéale pour les épiceries et supérettes avec connexion réseau."
dual screen pos (dlsum-ta),Caisse Tactile,,,1500.0,"Caisse tactile double écran (opérateur + client) marque DLSUM-TA. Processeur quad-core, écran 15 pouces, solution all-in-one pour commerce.",https://idsoft.tn/caisse-tactile/60-dual-screen-posdlsum-ta.html,"Product: dual screen pos (dlsum-ta)
Category: Caisse Tactile
Price: 1500.0
Description: Caisse tactile double écran (opérateur + client) marque DLSUM-TA. Processeur quad-core, écran 15 pouces, solution all-in-one pour commerce."
Touch Screen POS System SWBJ14-00NS,Caisse Tactile,,,1000.0,"Caisse tactile Swipe SWBJ14-00NS : Intel Celeron J1900 Quad Core, 4Go RAM, SSD 128Go, écran 15 pouces 1366x768, Windows 10. Sans imprimante ni tiroir.",https://idsoft.tn/caisse-tactile/61-touch-screen-pos-system-swbj14-00ns-.html,"Product: Touch Screen POS System SWBJ14-00NS
Category: Caisse Tactile
Price: 1000.0
Description: Caisse tactile Swipe SWBJ14-00NS : Intel Celeron J1900 Quad Core, 4Go RAM, SSD 128Go, écran 15 pouces 1366x768, Windows 10. Sans imprimante ni tiroir."
Touch Screen POS System SWBI38-NS,Caisse Tactile,,,970.0,"Caisse tactile Swipe SWBI38 : Intel Core i3-4030, 8Go DDR3, SSD 128Go, écran 15 pouces LCD 1024x768, Windows 10. Version sans imprimante ni tiroir.",https://idsoft.tn/caisse-tactile/63-touch-screen-pos-system-swbi38-ns.html,"Product: Touch Screen POS System SWBI38-NS
Category: Caisse Tactile
Price: 970.0
Description: Caisse tactile Swipe SWBI38 : Intel Core i3-4030, 8Go DDR3, SSD 128Go, écran 15 pouces LCD 1024x768, Windows 10. Version sans imprimante ni tiroir."
Touch Screen POS System SWWI38-P100,Caisse Tactile,,,1250.0,"Caisse tactile Swipe SWWI38 version blanche : Intel Core i3-4030, 8Go RAM, SSD 128Go, écran 15 pouces, Windows 10. Livrée avec imprimante thermique 80mm.",https://idsoft.tn/caisse-tactile/64-touch-screen-pos-system-swwi38-p100.html,"Product: Touch Screen POS System SWWI38-P100
Category: Caisse Tactile
Price: 1250.0
Description: Caisse tactile Swipe SWWI38 version blanche : Intel Core i3-4030, 8Go RAM, SSD 128Go, écran 15 pouces, Windows 10. Livrée avec imprimante thermique 80mm."
Touch Screen POS System SWBI38-P100,Caisse Tactile,,,1250.0,"Caisse tactile Swipe SWBI38 noire : Intel Core i3-4030, 8Go RAM, SSD 128Go, écran 15 pouces, Windows 10. Livrée avec imprimante thermique 80mm intégrée.",https://idsoft.tn/caisse-tactile/65-touch-screen-pos-system-swbi38-p100.html,"Product: Touch Screen POS System SWBI38-P100
Category: Caisse Tactile
Price: 1250.0
Description: Caisse tactile Swipe SWBI38 noire : Intel Core i3-4030, 8Go RAM, SSD 128Go, écran 15 pouces, Windows 10. Livrée avec imprimante thermique 80mm intégrée."
Touch Screen POS System SWBI38-P200,Caisse Tactile,,,1300.0,"Caisse tactile Swipe SWBI38 noire avec imprimante 80mm et écran client LCD. Intel Core i3-4030, 8Go RAM, SSD 128Go, Windows 10.",https://idsoft.tn/caisse-tactile/66-touch-screen-pos-system-swbi38-p200.html,"Product: Touch Screen POS System SWBI38-P200
Category: Caisse Tactile
Price: 1300.0
Description: Caisse tactile Swipe SWBI38 noire avec imprimante 80mm et écran client LCD. Intel Core i3-4030, 8Go RAM, SSD 128Go, Windows 10."
Touch Screen POS System SWBI38-P1IB,Caisse Tactile,,,1400.0,"Caisse tactile Swipe SWBI38 avec imprimante thermique 80mm et douchette code-barres intégrée. Intel Core i3, 8Go RAM, SSD 128Go, écran 15 pouces.",https://idsoft.tn/caisse-tactile/67-touch-screen-pos-system-swbi38-p1ib-.html,"Product: Touch Screen POS System SWBI38-P1IB
Category: Caisse Tactile
Price: 1400.0
Description: Caisse tactile Swipe SWBI38 avec imprimante thermique 80mm et douchette code-barres intégrée. Intel Core i3, 8Go RAM, SSD 128Go, écran 15 pouces."
Touch Screen POS System SWBI38-S900,Caisse Tactile,,,1450.0,"Caisse tactile Swipe SWBI38 avec imprimante 80mm et tiroir-caisse. Intel Core i3-4030, 8Go RAM, SSD 128Go, écran 15 pouces, Windows 10.",https://idsoft.tn/caisse-tactile/68-touch-screen-pos-system-swbi38-s900.html,"Product: Touch Screen POS System SWBI38-S900
Category: Caisse Tactile
Price: 1450.0
Description: Caisse tactile Swipe SWBI38 avec imprimante 80mm et tiroir-caisse. Intel Core i3-4030, 8Go RAM, SSD 128Go, écran 15 pouces, Windows 10."
Touch Screen POS System SWWI38-S900,Caisse Tactile,,,1450.0,"Caisse tactile Swipe SWWI38 blanche avec imprimante 80mm et tiroir-caisse. Intel Core i3-4030, 8Go RAM, SSD 128Go, écran 15 pouces, Windows 10.",https://idsoft.tn/caisse-tactile/70-touch-screen-pos-system-swwi38-s900.html,"Product: Touch Screen POS System SWWI38-S900
Category: Caisse Tactile
Price: 1450.0
Description: Caisse tactile Swipe SWWI38 blanche avec imprimante 80mm et tiroir-caisse. Intel Core i3-4030, 8Go RAM, SSD 128Go, écran 15 pouces, Windows 10."
Touch Screen POS System SWBI58-P100,Caisse Tactile,,,1350.0,"Caisse tactile Swipe SWBI58 (i5) avec imprimante 80mm. Processeur Intel Core i5-4200u, 8Go DDR3, SSD 128Go, écran 15 pouces, Windows 10.",https://idsoft.tn/caisse-tactile/72-swbi58-p100.html,"Product: Touch Screen POS System SWBI58-P100
Category: Caisse Tactile
Price: 1350.0
Description: Caisse tactile Swipe SWBI58 (i5) avec imprimante 80mm. Processeur Intel Core i5-4200u, 8Go DDR3, SSD 128Go, écran 15 pouces, Windows 10."
Touch Screen POS System SWBI58-P200,Caisse Tactile,,,1400.0,"Caisse tactile Swipe SWBI58 (i5) avec imprimante 80mm et écran client secondaire. Intel Core i5-4200u, 8Go RAM, SSD 128Go, Windows 10.",https://idsoft.tn/caisse-tactile/73-touch-screen-pos-system-swbi58-p200-.html,"Product: Touch Screen POS System SWBI58-P200
Category: Caisse Tactile
Price: 1400.0
Description: Caisse tactile Swipe SWBI58 (i5) avec imprimante 80mm et écran client secondaire. Intel Core i5-4200u, 8Go RAM, SSD 128Go, Windows 10."
Touch Screen POS System SWBI58-P1IB,Caisse Tactile,,,1500.0,"Caisse tactile Swipe SWBI58 (i5) avec imprimante 80mm et douchette code-barres. Intel Core i5-4200u, 8Go RAM, SSD 128Go, écran 15 pouces.",https://idsoft.tn/caisse-tactile/76-touch-screen-pos-system-swbi58-p1ib-.html,"Product: Touch Screen POS System SWBI58-P1IB
Category: Caisse Tactile
Price: 1500.0
Description: Caisse tactile Swipe SWBI58 (i5) avec imprimante 80mm et douchette code-barres. Intel Core i5-4200u, 8Go RAM, SSD 128Go, écran 15 pouces."
Touch Screen POS System SWBI58-S900,Caisse Tactile,,,1600.0,"Caisse tactile Swipe SWBI58 (i5) avec imprimante 80mm et tiroir-caisse. Intel Core i5-4200u, 8Go DDR3, SSD 128Go, écran 15 pouces, Windows 10.",https://idsoft.tn/caisse-tactile/77-touch-screen-pos-system-swbi58-s900.html,"Product: Touch Screen POS System SWBI58-S900
Category: Caisse Tactile
Price: 1600.0
Description: Caisse tactile Swipe SWBI58 (i5) avec imprimante 80mm et tiroir-caisse. Intel Core i5-4200u, 8Go DDR3, SSD 128Go, écran 15 pouces, Windows 10."
Caisse tactile all in one (dlsum-ta) avec imprimante,Caisse Tactile,,,1550.0,"Caisse tactile all-in-one DLSUM-TA livrée avec imprimante thermique intégrée. Solution complète pour point de vente, écran 15 pouces, Windows 10.",https://idsoft.tn/caisse-tactile/90-caisse-tactile-all-in-one-dlsum-ta-avec-imprimante.html,"Product: Caisse tactile all in one (dlsum-ta) avec imprimante
Category: Caisse Tactile
Price: 1550.0
Description: Caisse tactile all-in-one DLSUM-TA livrée avec imprimante thermique intégrée. Solution complète pour point de vente, écran 15 pouces, Windows 10."
Caisse tactile sans fil DLSUM-TD,Caisse Tactile,,,1500.0,Caisse tactile portable sans fil DLSUM-TD. Idéale pour la prise de commandes en mobilité dans les restaurants ou magasins. Batterie longue durée.,https://idsoft.tn/caisse-tactile/93-caisse-tactile-sans-fil-dlsum-td.html,"Product: Caisse tactile sans fil DLSUM-TD
Category: Caisse Tactile
Price: 1500.0
Description: Caisse tactile portable sans fil DLSUM-TD. Idéale pour la prise de commandes en mobilité dans les restaurants ou magasins. Batterie longue durée."
XP-N160II,Imprimantes,,,280.0,"Imprimante de reçus thermique 80mm Xprinter XP-N160II : vitesse 160mm/s, coupe automatique, anti-bourrage, interface USB/LAN. Compatible Windows/Linux/Android.",https://idsoft.tn/imprimantes/80-xp-n160ii.html,"Product: XP-N160II
Category: Imprimantes
Price: 280.0
Description: Imprimante de reçus thermique 80mm Xprinter XP-N160II : vitesse 160mm/s, coupe automatique, anti-bourrage, interface USB/LAN. Compatible Windows/Linux/Android."
XP-C260M,Imprimantes,,,300.0,Imprimante thermique Xprinter XP-C260M 80mm avec coupe automatique. Interface USB/LAN/Bluetooth en option. Idéale pour point de vente.,https://idsoft.tn/imprimantes/81-xp-c260m.html,"Product: XP-C260M
Category: Imprimantes
Price: 300.0
Description: Imprimante thermique Xprinter XP-C260M 80mm avec coupe automatique. Interface USB/LAN/Bluetooth en option. Idéale pour point de vente."
XP-236B,Imprimantes,,,190.0,Imprimante thermique de tickets Xprinter XP-236B 58mm compacte et économique. Interface USB. Parfaite pour les petits commerces.,https://idsoft.tn/imprimantes/83-xp-236b.html,"Product: XP-236B
Category: Imprimantes
Price: 190.0
Description: Imprimante thermique de tickets Xprinter XP-236B 58mm compacte et économique. Interface USB. Parfaite pour les petits commerces."
XP-T80B,Imprimantes,,,220.0,"Imprimante thermique tickets Xprinter XP-T80B 80mm fiable et rapide. Interface USB, compatible ESC/POS. Pour tous types de commerces.",https://idsoft.tn/imprimantes/84-xp-t80b.html,"Product: XP-T80B
Category: Imprimantes
Price: 220.0
Description: Imprimante thermique tickets Xprinter XP-T80B 80mm fiable et rapide. Interface USB, compatible ESC/POS. Pour tous types de commerces."
XP-58IIH,Imprimantes,,,120.0,"Imprimante thermique 58mm Xprinter XP-58IIH compacte et légère. Idéale pour les petits espaces. Interface USB, compatible Android/iOS.",https://idsoft.tn/imprimantes/85-xp-58iih.html,"Product: XP-58IIH
Category: Imprimantes
Price: 120.0
Description: Imprimante thermique 58mm Xprinter XP-58IIH compacte et légère. Idéale pour les petits espaces. Interface USB, compatible Android/iOS."
Imprimante thermiques Soonmark SMK-M4201,Imprimantes,,,620.0,"Imprimante thermique professionnelle Soonmark SMK-M4201 avec double décodeur. Vitesse d'impression 90mm/s, résolution 203 ppp, interfaces réseau.",https://idsoft.tn/imprimantes/91-imprimante-thermiques-soonmark-smk-m4201-.html,"Product: Imprimante thermiques Soonmark SMK-M4201
Category: Imprimantes
Price: 620.0
Description: Imprimante thermique professionnelle Soonmark SMK-M4201 avec double décodeur. Vitesse d'impression 90mm/s, résolution 203 ppp, interfaces réseau."
Imprimante thermique dlsum,Imprimantes,,,320.0,"Imprimante thermique marque DLSUM 80mm pour point de vente. Coupe automatique, connexion USB/LAN, compatible avec logiciels de caisse courants.",https://idsoft.tn/imprimantes/96-imprimante-thermique-dlsum-.html,"Product: Imprimante thermique dlsum
Category: Imprimantes
Price: 320.0
Description: Imprimante thermique marque DLSUM 80mm pour point de vente. Coupe automatique, connexion USB/LAN, compatible avec logiciels de caisse courants."
SW-BCRD13V2-2DU,Lecteur code barres,,,230.0,"Scanner de codes-barres 2D Swipe SW-BCRD13V2 filaire USB. Lit les QR codes, codes 2D et 1D. Idéal pour les caisses et inventaires.",https://idsoft.tn/lecteur-code-barres/87-sw-bcrd13v2-2du.html,"Product: SW-BCRD13V2-2DU
Category: Lecteur code barres
Price: 230.0
Description: Scanner de codes-barres 2D Swipe SW-BCRD13V2 filaire USB. Lit les QR codes, codes 2D et 1D. Idéal pour les caisses et inventaires."
SW-BCRH01V2-1DU,Lecteur code barres,,,70.0,Douchette code-barres 1D Swipe SW-BCRH01V2 filaire USB. Économique et fiable pour la lecture de codes-barres standards. Plug & Play.,https://idsoft.tn/lecteur-code-barres/88-sw-bcrh01v2-1du.html,"Product: SW-BCRH01V2-1DU
Category: Lecteur code barres
Price: 70.0
Description: Douchette code-barres 1D Swipe SW-BCRH01V2 filaire USB. Économique et fiable pour la lecture de codes-barres standards. Plug & Play."
SW-BCRH11V2-2DU,Lecteur code barres,,,120.0,Douchette 2D Swipe SW-BCRH11V2 filaire USB. Lit les codes QR et codes-barres 1D/2D. Compatible avec toutes les caisses et logiciels de gestion.,https://idsoft.tn/lecteur-code-barres/89-sw-bcrh11v2-2du.html,"Product: SW-BCRH11V2-2DU
Category: Lecteur code barres
Price: 120.0
Description: Douchette 2D Swipe SW-BCRH11V2 filaire USB. Lit les codes QR et codes-barres 1D/2D. Compatible avec toutes les caisses et logiciels de gestion."
LECTEUR DE CODES-BARRES XB-6255M+ 2D SYBLE,Lecteur code barres,,,200.0,"Scanner de codes-barres 2D SYBLE XB-6255M+ : lit les codes 1D et 2D (QR code, PDF417). Interface USB filaire, haute performance de lecture.",https://idsoft.tn/lecteur-code-barres/92-lecteur-de-codes-barres-xb-6255m-2d-syble.html,"Product: LECTEUR DE CODES-BARRES XB-6255M+ 2D SYBLE
Category: Lecteur code barres
Price: 200.0
Description: Scanner de codes-barres 2D SYBLE XB-6255M+ : lit les codes 1D et 2D (QR code, PDF417). Interface USB filaire, haute performance de lecture."
